,method,duration,condition,memory_usage,divergence_vector_field,h,epsilon,gamma,tested_param,error_u,error_p
0,global,0.0009438991546630859,1013.9811547338966,1.085952,4.0110791757708897e-16,1,0.0001,20.0,h,8.116832041897263e-15,4.1820172479640225e-16
1,duality,0.0008957386016845703,19.818767808582805,0.8401919999999999,8.365108964335554e-15,1,0.0001,20.0,h,2.6235787065335185e-14,0.1200412606928838
2,penalization,0.0017342567443847656,4449654.388039244,2.331648,1.4307141056380042e-05,1,0.0001,20.0,h,0.00021374470070775978,8.967916347903465e-06
3,duality penalization,0.0006666183471679688,8972.374924066451,2.677248,1.718705873032128e-16,1,0.0001,20.0,h,1.0947723412360045e-13,0.12004126069288454
4,global,0.0015957355499267578,4519.187542948937,4.448256,2.3504588444959917e-16,0.5,0.0001,20.0,h,1.9050955661695164e-14,7.746737645826431e-16
5,duality,0.0013432502746582031,81.12439740587578,4.474368,8.867703955621039e-15,0.5,0.0001,20.0,h,6.21930388487048e-14,0.19317373705712876
6,penalization,0.003975868225097656,13873299.038186518,13.541376,2.214844172400776e-05,0.5,0.0001,20.0,h,0.0009976214267276072,3.036094995987771e-05
7,duality penalization,0.0024499893188476562,29221.21948005037,15.64416,3.9199781513172716e-16,0.5,0.0001,20.0,h,2.723240661351846e-13,0.193173737057127
8,global,0.007735490798950195,11328.449496041947,13.911551999999999,2.972253027117512e-16,0.2,0.0001,20.0,h,6.22663103874316e-14,2.547238789519828e-15
9,duality,0.00452113151550293,334.5281354914757,23.012352,1.615795752581175e-14,0.2,0.0001,20.0,h,2.5285098742840767e-13,0.29319530227209695
10,penalization,0.013964176177978516,11038879.304911673,45.230592,3.469708007784097e-05,0.2,0.0001,20.0,h,0.004467611925431488,0.00011458906882628866
11,duality penalization,0.011043071746826172,23300.136766428088,60.590591999999994,4.916589616385306e-16,0.2,0.0001,20.0,h,1.672388028478106e-13,0.29319530227209833
12,global,0.025913000106811523,22185.91409246554,44.195327999999996,3.55834111220934e-16,0.1,0.0001,20.0,h,1.3940324907285683e-13,5.013023309921098e-15
13,duality,0.018810749053955078,1152.019234967399,150.34982399999998,1.500653364402607e-14,0.1,0.0001,20.0,h,3.794864876233604e-13,0.5268358508973944
14,penalization,0.07150030136108398,10617713.913497034,154.06848,5.7605455211233245e-05,0.1,0.0001,20.0,h,0.020851716365066008,0.0005043890704940695
15,duality penalization,0.07297396659851074,22795.35647719843,279.707136,6.812448989795212e-16,0.1,0.0001,20.0,h,3.923493517432392e-13,0.5268358508956617
16,global,0.2500309944152832,51273.682665773646,177.36345599999999,6.779743597362283e-16,0.05,0.0001,20.0,h,4.115447546566182e-13,2.149206690379508e-14
17,duality,0.23603558540344238,5056.172864577215,1819.533312,2.0263530496963954e-14,0.05,0.0001,20.0,h,2.2045985971666153e-12,1.592558154474826
18,penalization,0.6981444358825684,14435900.866158638,640.041984,0.00011162463823653205,0.05,0.0001,20.0,h,0.15306263195979547,0.0035653254060188993
19,duality penalization,0.7198452949523926,32064.15232125266,2359.385088,1.7073245494690091e-15,0.05,0.0001,20.0,h,9.025043603132412e-13,1.592558154471229
20,global,0.04089474678039551,22185.914092465533,44.195327999999996,3.55834111220934e-16,0.1,0.001,20.0,epsilon,1.3940324907285683e-13,5.013023309921098e-15
21,duality,0.029940128326416016,1152.019234967399,150.34982399999998,1.500653364402607e-14,0.1,0.001,20.0,epsilon,3.794864876233604e-13,0.5268358508973944
22,penalization,0.1080467700958252,1061219.8595032012,154.06848,0.0005806262475839868,0.1,0.001,20.0,epsilon,0.2101876967339181,0.00508408797025393
