k,file,scheme,m,beta,hmax,L2_E,L2_H
1,pas01,centered,1,2,0.07405,0.06874,0.03206
1,pas005,centered,1,2,0.03945,0.03359,0.00792
1,pas0075,centered,1,2,0.05413,0.0472,0.01615
1,pas01,upwind,1,2,0.07405,0.01531,0.02057
1,pas005,upwind,1,2,0.03945,0.00357,0.00461
1,pas0075,upwind,1,2,0.05413,0.00713,0.00927
2,pas01,centered,1,3,0.07405,0.00207,3.40E-04
2,pas02,centered,1,3,0.14351,0.01002,0.00205
2,pas0075,centered,1,3,0.05413,9.95E-04,1.04E-04
2,pas01,upwind,1,3,0.07405,0.01532,0.0205
2,pas02,upwind,1,3,0.14351,0.05419,0.07645
2,pas0075,upwind,1,3,0.05413,0.00713,0.00926
3,pas01,centered,2,4,0.07405,0.16783,0.0502
3,pas02,centered,2,4,0.14351,0.43576,0.19039
3,pas03,centered,2,4,0.17852,0.68006,0.36556
3,pas01,upwind,2,4,0.07405,0.08351,0.06124
3,pas02,upwind,2,4,0.14351,0.29993,0.22896
3,pas03,upwind,2,4,0.17852,0.52902,0.42457
